case_id,docket_number,court_name,jurisdiction_type,judge_name,filed_date,trial_date,case_type,industry_sector,our_role,opposing_firm_name,opposing_lead_counsel,our_lead_counsel,resolved_via,verdict_for,total_damages_claimed,damages_awarded,pi_motion_outcome,summary_judgment_outcome,trade_secret_profile,appeal_flag,appeal_outcome
C-2020-0312,3:20-cv-0312,N.D. Cal.,federal,Hon. Rebecca L. Ames,2020-02-14,2023-05-01,trade_secret_misappropriation,enterprise_software,plaintiff,Donovan Grant LLP,"Claire Donovan; Oliver Grant",Michael Lee,trial_verdict,them,120000000,0,denied,granted_in_part,source_code; customer_segments,true,affirmed
C-2019-1187,1:19-cv-1187,D. Del.,federal,Hon. Samuel J. Kerr,2019-06-03,,trade_secret_misappropriation,semiconductors,plaintiff,Donovan Grant LLP,"Claire Donovan",Priya Natarajan,summary_judgment,them,85000000,0,granted,granted,manufacturing_process_controls,false,
C-2021-0904,2:21-cv-0904,S.D.N.Y.,federal,Hon. Angela P. Rivera,2021-09-21,2024-03-18,trade_secret_misappropriation,cloud_infrastructure,defendant,Brighton & Cole,"Mark Hastings",Daniel Cho,trial_verdict,us,45000000,2500000,denied,denied,customer_lists; deployment_playbooks,false,
C-2018-0220,5:18-cv-0220,N.D. Cal.,federal,Hon. Rebecca L. Ames,2018-01-11,,trade_secret_misappropriation,adtech,plaintiff,Donovan Grant LLP,"Oliver Grant",Michael Lee,settlement,them,60000000,15000000,denied,denied,real_time_bidding_algorithms,true,settled_without_admission
C-2017-0541,2:17-cv-0541,S.D. Tex.,federal,Hon. Carlos M. Ortiz,2017-03-09,2019-10-22,trade_secret_misappropriation,oilfield_services,defendant,Hartley King & Cole,"Julia Hartley",Priya Natarajan,trial_verdict,us,30000000,0,denied,denied,maintenance_scheduling_models,false,
C-2019-2044,3:19-cv-2044,N.D. Ill.,federal,Hon. Lisa K. Monroe,2019-09-30,2022-02-14,trade_secret_misappropriation,logistics,plaintiff,Ridgeway & Stone,"Peter Ridgeway",Daniel Cho,trial_verdict,us,50000000,22000000,granted_in_part,denied,routing_optimization_engine,false,
C-2020-1450,8:20-cv-1450,C.D. Cal.,federal,Hon. Evelyn S. Park,2020-06-18,2022-11-08,trade_secret_misappropriation,streaming_media,defendant,Donovan Grant LLP,"Claire Donovan",Michael Lee,trial_verdict,them,38000000,7000000,denied,denied,content_recommendation_models,true,partially_reversed
C-2022-0678,1:22-cv-0678,D. Mass.,federal,Hon. Robert T. Hayes,2022-02-03,,trade_secret_misappropriation,biotech,plaintiff,Donovan Grant LLP,"Claire Donovan; Oliver Grant",Priya Natarajan,settlement,them,150000000,50000000,granted_in_part,granted_in_part,clinical_trial_protocols,true,remanded_for_settlement_approval
C-2023-0129,4:23-cv-0129,W.D. Wash.,federal,Hon. Megan L. Chu,2023-01-27,,trade_secret_misappropriation,developer_tools,plaintiff,Brighton & Cole,"Mark Hastings",Daniel Cho,summary_judgment,mixed,42000000,8000000,denied,granted_in_part,api_usage_telemetry,false,
C-2016-0001,1:16-cv-0001,S.D.N.Y.,federal,Hon. Angela P. Rivera,2016-01-12,2017-09-05,trade_secret_misappropriation,financial_analytics,plaintiff,Donovan Grant LLP,"Claire Donovan",Michael Lee,trial_verdict,them,90000000,5000000,denied,denied,pricing_signals_engine,true,affirmed
C-2016-0034,3:16-cv-0034,N.D. Cal.,federal,Hon. Rebecca L. Ames,2016-02-28,,trade_secret_misappropriation,developer_tools,plaintiff,Brighton & Cole,"Mark Hastings",Priya Natarajan,settlement,us,25000000,10000000,denied,denied,debugging_workflow_data,false,
C-2016-0450,2:16-cv-0450,E.D. Tex.,federal,Hon. Carlos M. Ortiz,2016-07-19,2018-03-11,trade_secret_misappropriation,enterprise_software,defendant,Hartley King & Cole,"Julia Hartley",Daniel Cho,trial_verdict,us,60000000,0,denied,denied,usage_analytics_schema,false,
C-2017-0102,5:17-cv-0102,N.D. Ill.,federal,Hon. Lisa K. Monroe,2017-01-30,2019-04-21,trade_secret_misappropriation,healthcare_analytics,plaintiff,Ridgeway & Stone,"Peter Ridgeway",Michael Lee,trial_verdict,us,72000000,28000000,granted_in_part,denied,risk_stratification_models,false,
C-2017-0209,2:17-cv-0209,D. Mass.,federal,Hon. Robert T. Hayes,2017-03-02,,trade_secret_misappropriation,biotech,plaintiff,Donovan Grant LLP,"Claire Donovan",Priya Natarajan,summary_judgment,them,110000000,0,denied,granted,biomarker_panels,true,affirmed
C-2017-0788,8:17-cv-0788,C.D. Cal.,federal,Hon. Evelyn S. Park,2017-08-15,2019-12-09,trade_secret_misappropriation,streaming_media,defendant,Brighton & Cole,"Mark Hastings",Daniel Cho,trial_verdict,us,55000000,5000000,denied,denied,personalization_models,false,
C-2018-0055,4:18-cv-0055,W.D. Wash.,federal,Hon. Megan L. Chu,2018-02-01,,trade_secret_misappropriation,cloud_infrastructure,plaintiff,Donovan Grant LLP,"Claire Donovan; Oliver Grant",Michael Lee,settlement,them,65000000,20000000,denied,granted_in_part,autoscaling_strategies,true,remanded_for_settlement_approval
C-2018-0199,1:18-cv-0199,D. Del.,federal,Hon. Samuel J. Kerr,2018-04-05,2020-01-17,trade_secret_misappropriation,semiconductors,defendant,Hartley King & Cole,"Julia Hartley",Priya Natarajan,trial_verdict,us,80000000,0,granted_in_part,denied,process_drift_models,false,
C-2018-0301,3:18-cv-0301,N.D. Cal.,federal,Hon. Rebecca L. Ames,2018-06-12,,trade_secret_misappropriation,adtech,plaintiff,Donovan Grant LLP,"Oliver Grant",Daniel Cho,summary_judgment,them,50000000,0,denied,granted,lookalike_model_features,true,affirmed
C-2018-0670,2:18-cv-0670,S.D.N.Y.,federal,Hon. Angela P. Rivera,2018-09-07,2020-05-19,trade_secret_misappropriation,financial_analytics,defendant,Ridgeway & Stone,"Peter Ridgeway",Michael Lee,trial_verdict,us,43000000,2000000,denied,denied,portfolio_risk_signals,false,
C-2019-0113,5:19-cv-0113,N.D. Cal.,federal,Hon. Rebecca L. Ames,2019-01-22,,trade_secret_misappropriation,enterprise_software,plaintiff,Donovan Grant LLP,"Claire Donovan",Priya Natarajan,settlement,them,70000000,22000000,denied,granted_in_part,onboarding_scoring_model,true,remanded_for_settlement_approval
C-2019-0307,2:19-cv-0307,S.D. Tex.,federal,Hon. Carlos M. Ortiz,2019-03-15,2021-01-28,trade_secret_misappropriation,oilfield_services,plaintiff,Hartley King & Cole,"Julia Hartley",Daniel Cho,trial_verdict,us,36000000,15000000,denied,denied,drilling_sequence_optimizer,false,
C-2019-0666,8:19-cv-0666,C.D. Cal.,federal,Hon. Evelyn S. Park,2019-06-20,,trade_secret_misappropriation,streaming_media,plaintiff,Donovan Grant LLP,"Claire Donovan; Oliver Grant",Michael Lee,summary_judgment,them,92000000,0,denied,granted,ad_insertion_engine,true,affirmed
C-2019-0901,4:19-cv-0901,W.D. Wash.,federal,Hon. Megan L. Chu,2019-09-09,2021-06-03,trade_secret_misappropriation,developer_tools,defendant,Brighton & Cole,"Mark Hastings",Priya Natarajan,trial_verdict,us,28000000,2500000,denied,denied,build_cache_algorithms,false,
C-2020-0044,1:20-cv-0044,D. Mass.,federal,Hon. Robert T. Hayes,2020-01-17,2022-08-11,trade_secret_misappropriation,healthcare_analytics,plaintiff,Ridgeway & Stone,"Peter Ridgeway",Daniel Cho,trial_verdict,us,96000000,41000000,granted_in_part,denied,readmission_risk_scores,false,
C-2020-0208,3:20-cv-0208,N.D. Ill.,federal,Hon. Lisa K. Monroe,2020-03-03,,trade_secret_misappropriation,logistics,defendant,Hartley King & Cole,"Julia Hartley",Michael Lee,settlement,them,52000000,16000000,denied,denied,capacity_planning_models,false,
C-2020-0599,2:20-cv-0599,S.D.N.Y.,federal,Hon. Angela P. Rivera,2020-06-01,2022-10-04,trade_secret_misappropriation,financial_analytics,plaintiff,Donovan Grant LLP,"Claire Donovan",Priya Natarajan,trial_verdict,them,102000000,9000000,denied,denied,high_frequency_signals,true,affirmed
C-2020-0880,8:20-cv-0880,C.D. Cal.,federal,Hon. Evelyn S. Park,2020-08-24,,trade_secret_misappropriation,cloud_infrastructure,plaintiff,Brighton & Cole,"Mark Hastings",Daniel Cho,summary_judgment,mixed,47000000,12000000,denied,granted_in_part,disaster_recovery_playbooks,false,
C-2021-0055,4:21-cv-0055,W.D. Wash.,federal,Hon. Megan L. Chu,2021-01-29,2023-09-16,trade_secret_misappropriation,developer_tools,plaintiff,Donovan Grant LLP,"Claire Donovan; Oliver Grant",Michael Lee,trial_verdict,them,63000000,8000000,denied,denied,ci_cd_optimization_pipelines,true,affirmed
C-2021-0277,1:21-cv-0277,D. Del.,federal,Hon. Samuel J. Kerr,2021-03-10,,trade_secret_misappropriation,semiconductors,plaintiff,Ridgeway & Stone,"Peter Ridgeway",Priya Natarajan,settlement,us,88000000,33000000,granted_in_part,denied,packaging_thermal_models,false,
C-2021-0442,3:21-cv-0442,N.D. Cal.,federal,Hon. Rebecca L. Ames,2021-05-06,,trade_secret_misappropriation,enterprise_software,plaintiff,Donovan Grant LLP,"Claire Donovan",Daniel Cho,summary_judgment,them,77000000,0,denied,granted,role_recommendation_engine,true,affirmed
C-2021-0810,2:21-cv-0810,S.D. Tex.,federal,Hon. Carlos M. Ortiz,2021-08-02,2023-01-19,trade_secret_misappropriation,oilfield_services,defendant,Brighton & Cole,"Mark Hastings",Michael Lee,trial_verdict,us,39000000,3500000,denied,denied,downhole_sensor_calibration,false,
C-2022-0111,8:22-cv-0111,C.D. Cal.,federal,Hon. Evelyn S. Park,2022-01-20,,trade_secret_misappropriation,streaming_media,plaintiff,Donovan Grant LLP,"Claire Donovan",Priya Natarajan,settlement,them,64000000,19000000,denied,granted_in_part,viewer_segmentation_models,true,remanded_for_settlement_approval
C-2022-0244,4:22-cv-0244,W.D. Wash.,federal,Hon. Megan L. Chu,2022-03-03,,trade_secret_misappropriation,cloud_infrastructure,plaintiff,Ridgeway & Stone,"Peter Ridgeway",Daniel Cho,summary_judgment,us,58000000,0,denied,denied,latency_optimization_strategies,false,
C-2022-0407,1:22-cv-0407,D. Mass.,federal,Hon. Robert T. Hayes,2022-04-11,,trade_secret_misappropriation,healthcare_analytics,plaintiff,Donovan Grant LLP,"Claire Donovan; Oliver Grant",Michael Lee,summary_judgment,them,99000000,0,denied,granted,care_gap_models,true,affirmed
C-2022-0599,3:22-cv-0599,N.D. Ill.,federal,Hon. Lisa K. Monroe,2022-06-09,,trade_secret_misappropriation,logistics,defendant,Hartley King & Cole,"Julia Hartley",Priya Natarajan,settlement,them,43000000,9000000,denied,denied,carrier_scorecards,false,
C-2022-0888,2:22-cv-0888,S.D.N.Y.,federal,Hon. Angela P. Rivera,2022-08-17,,trade_secret_misappropriation,financial_analytics,plaintiff,Brighton & Cole,"Mark Hastings",Daniel Cho,summary_judgment,mixed,51000000,10000000,denied,granted_in_part,credit_limit_models,false,
C-2023-0040,8:23-cv-0040,C.D. Cal.,federal,Hon. Evelyn S. Park,2023-01-09,,trade_secret_misappropriation,streaming_media,plaintiff,Donovan Grant LLP,"Claire Donovan",Michael Lee,summary_judgment,them,68000000,0,denied,granted,session_prediction_models,true,appeal_pending
C-2023-0195,4:23-cv-0195,W.D. Wash.,federal,Hon. Megan L. Chu,2023-03-01,,trade_secret_misappropriation,developer_tools,defendant,Hartley King & Cole,"Julia Hartley",Priya Natarajan,pretrial_dismissal,us,25000000,0,denied,denied,log_indexing_strategies,false,
C-2023-0310,1:23-cv-0310,D. Del.,federal,Hon. Samuel J. Kerr,2023-04-07,,trade_secret_misappropriation,semiconductors,plaintiff,Donovan Grant LLP,"Claire Donovan; Oliver Grant",Daniel Cho,summary_judgment,them,120000000,0,granted_in_part,granted,yield_enhancement_recipes,true,appeal_pending
C-2023-0472,3:23-cv-0472,N.D. Cal.,federal,Hon. Rebecca L. Ames,2023-06-13,,trade_secret_misappropriation,enterprise_software,plaintiff,Ridgeway & Stone,"Peter Ridgeway",Michael Lee,settlement,us,73000000,26000000,denied,denied,contract_renewal_scoring,false,
C-2023-0606,2:23-cv-0606,S.D. Tex.,federal,Hon. Carlos M. Ortiz,2023-08-01,,trade_secret_misappropriation,oilfield_services,plaintiff,Donovan Grant LLP,"Claire Donovan",Priya Natarajan,pretrial_dismissal,them,41000000,5000000,denied,denied,asset_failure_models,false,
C-2023-0799,8:23-cv-0799,C.D. Cal.,federal,Hon. Evelyn S. Park,2023-09-22,,trade_secret_misappropriation,streaming_media,defendant,Brighton & Cole,"Mark Hastings",Daniel Cho,pretrial_dismissal,us,36000000,0,denied,denied,preview_trailer_ranker,false,
C-2024-0102,4:24-cv-0102,W.D. Wash.,federal,Hon. Megan L. Chu,2024-01-18,,trade_secret_misappropriation,cloud_infrastructure,plaintiff,Donovan Grant LLP,"Claire Donovan; Oliver Grant",Michael Lee,summary_judgment,pending,82000000,0,denied,pending,edge_routing_policies,false,
C-2024-0255,1:24-cv-0255,D. Mass.,federal,Hon. Robert T. Hayes,2024-03-05,,trade_secret_misappropriation,healthcare_analytics,plaintiff,Ridgeway & Stone,"Peter Ridgeway",Priya Natarajan,summary_judgment,pending,91000000,0,denied,pending,triage_priority_scores,false,
C-2024-0328,3:24-cv-0328,N.D. Ill.,federal,Hon. Lisa K. Monroe,2024-04-16,,trade_secret_misappropriation,logistics,plaintiff,Donovan Grant LLP,"Claire Donovan",Daniel Cho,summary_judgment,pending,67000000,0,denied,pending,warehouse_slotting_models,false,
C-2024-0490,2:24-cv-0490,S.D.N.Y.,federal,Hon. Angela P. Rivera,2024-06-10,,trade_secret_misappropriation,financial_analytics,defendant,Hartley King & Cole,"Julia Hartley",Michael Lee,pretrial_dismissal,us,54000000,0,denied,denied,stress_testing_scenarios,false,
